id,number,nationwide_number,name,original_name,sex,year_of_birth,nationality,military_civilian,selection,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,total_hrs_sum,field21,eva_hrs_mission,total_eva_hrs,name_clean,current_age,birth_decade,selection_decade,age_at_selection,is_male,is_female,is_military,is_veteran,mission_experience_level,total_eva_hrs_has_eva,total_eva_hrs_category,flight_hours_category,nationality_group,year_of_birth_is_outlier,year_of_selection_is_outlier,total_number_of_missions_is_outlier,total_hrs_sum_is_outlier,total_eva_hrs_is_outlier,nationality_encoded,military_civilian_encoded,occupation_encoded,selection_encoded,nationality_group_Canada,nationality_group_France,nationality_group_Germany,nationality_group_Italy,nationality_group_Japan,nationality_group_Other,nationality_group_Russia,nationality_group_USA,nationality_group_nan,mission_experience_level_Single,mission_experience_level_Couple,mission_experience_level_Multiple,mission_experience_level_Veteran,mission_experience_level_nan,flight_hours_category_Short,flight_hours_category_Medium,flight_hours_category_Long,flight_hours_category_Very_Long,flight_hours_category_nan
129,56,31,"Mattingly, Thomas K., II","Mattingly, Thomas K., II",male,1936,USA,military,NASA- 5,1966,3,3,commander,1985,STS-151-C,STS-151-C,STS-151-C,STS-151-C,73.0,508.0,0,0.0,1.38,"Mattingly, Thomas K., II",89,1930,1960,30,1,0,1,1,Multiple,1,Short,Long,USA,0,0,0,0,0,38.0,1.0,0.0,142.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
130,57,32,"Duke, Jr. Charles Moss","Duke, Jr. Charles Moss",male,1935,USA,military,NASA- 5,1966,1,1,pilot,1972,Apollo 16,Apollo 16,Apollo 16,Apollo 16,265.0,265.0,3,20.25,20.25,"Duke, Jr. Charles Moss",90,1930,1960,31,1,0,1,0,Single,1,Medium,Medium,USA,0,0,0,0,0,38.0,1.0,5.0,142.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False
131,58,33,"Evans, Ronald E.","Evans, Ronald E.",male,1933,USA,military,NASA- 5,1966,1,1,pilot,1972,Apollo 17,Apollo 17,Apollo 17,Apollo 17,301.0,301.0,1,1.4,1.4,"Evans, Ronald E.",92,1930,1960,33,1,0,1,0,Single,1,Short,Medium,USA,0,0,0,0,0,38.0,1.0,5.0,142.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False
132,59,34,"Schmitt, Harrison H.","Schmitt, Harrison H.",male,1935,USA,civilian,NASA-4,1965,1,1,pilot,1972,Apollo 17,Apollo 17,Apollo 17,Apollo 17,301.0,301.0,3,22.07,22.07,"Schmitt, Harrison H.",90,1930,1960,30,1,0,0,0,Single,1,Medium,Medium,USA,0,0,0,0,0,38.0,0.0,5.0,156.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False
133,60,35,"Weitz, Paul J.","Weitz, Paul J.",male,1932,USA,military,1966 NASA group 5,1966,1,2,pilot,1973,Skylab-2,Apollo Sk.2,Apollo Sk.2,Apollo Sk.2,267.0,793.22,2,2.27,2.27,"Weitz, Paul J.",93,1930,1960,34,1,0,1,1,Couple,1,Short,Long,USA,0,0,0,0,0,38.0,1.0,5.0,11.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False
134,60,35,"Weitz, Paul J.","Weitz, Paul J.",male,1932,USA,military,1966 NASA group 5,1966,2,2,commander,1983,STS-6,STS-6,STS-6,STS-6,120.0,793.22,0,0.0,2.27,"Weitz, Paul J.",93,1930,1960,34,1,0,1,1,Couple,1,Short,Long,USA,0,0,0,0,0,38.0,1.0,0.0,11.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False
135,61,36,"Kerwin, Joseph P.","Kerwin, Joseph P.",male,1932,USA,military,NASA- 4,1965,1,1,msp,1973,Skylab 2,Apollo Sk.2,Apollo Sk.2,Apollo Sk.2,672.0,672.0,1,3.42,3.42,"Kerwin, Joseph P.",93,1930,1960,33,1,0,1,0,Single,1,Short,Long,USA,0,0,0,0,0,38.0,1.0,2.0,141.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
136,62,37,"Lousma, Jack R.","Lousma, Jack R.",male,1936,USA,military,NASA- 5,1966,1,2,pilot,1973,Skylab 3,Apollo Sk.3,Skylab 3,Skylab 3,1427.0,1619.0,2,11.0,11.0,"Lousma, Jack R.",89,1930,1960,30,1,0,1,1,Couple,1,Medium,Very_Long,USA,0,0,0,0,0,38.0,1.0,5.0,142.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
137,62,37,"Lousma, Jack R.","Lousma, Jack R.",male,1936,USA,military,NASA- 5,1966,2,2,commander,1982,STS-3,STS-3,STS-3,STS-3,192.0,1619.0,0,0.0,11.0,"Lousma, Jack R.",89,1930,1960,30,1,0,1,1,Couple,1,Medium,Very_Long,USA,0,0,0,0,0,38.0,1.0,0.0,142.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
138,63,38,"Garriott, Owen K.","Garriott, Owen K.",male,1930,USA,civilian,NASA Astronaut Group 4,1965,1,2,msp,1973,Skylab 3,Apollo Sk.3,Skylab,Apollo Sk.3,1427.0,1674.0,3,13.72,13.72,"Garriott, Owen K.",95,1930,1960,35,1,0,0,1,Couple,1,Medium,Very_Long,USA,0,0,0,0,0,38.0,0.0,2.0,122.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
139,63,38,"Garriott, Owen K.","Garriott, Owen K.",male,1930,USA,civilian,NASA Astronaut Group 5,1965,2,2,msp,1983,STS-9,STS-9,STS-9,STS-9,247.0,1674.0,0,0.0,13.72,"Garriott, Owen K.",95,1930,1960,35,1,0,0,1,Couple,1,Medium,Very_Long,USA,0,0,0,0,0,38.0,0.0,2.0,123.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
140,64,26,"Lazarev, Vasili",Василий Григорьевич Лазарев,male,1928,Russia,military,Voskhod-1 / TsPK-3,1964,1,1,commander,1973,Soyuz 12,Soyuz 12,Soyuz 12,Soyuz 12,47.0,47.25,0,0.0,0.0,"Lazarev, Vasili",97,1920,1960,36,1,0,1,0,Single,0,No_EVA,Short,Russia,0,0,0,0,0,27.0,1.0,0.0,227.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
141,65,27,"Makarov, Oleg",Олег Григорьевич Макаров,male,1933,Russia,civilian,Korolyov-Group / Mishin-Group / TsKBEM-1,1968,1,3,flight engineer,1973,Soyuz 12,Soyuz 12,Soyuz 12,Soyuz 12,47.0,497.33,0,0.0,0.0,"Makarov, Oleg",92,1930,1960,35,1,0,0,1,Multiple,0,No_EVA,Medium,Russia,0,0,0,0,0,27.0,0.0,1.0,92.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
142,65,27,"Makarov, Oleg",Олег Григорьевич Макаров,male,1933,Russia,civilian,Korolyov-Group / Mishin-Group / TsKBEM-2,1968,2,3,flight engineer,1978,Soyuz 27/26,Soyuz 27,Salyut 6,Soyuz 26,142.0,497.33,0,0.0,0.0,"Makarov, Oleg",92,1930,1960,35,1,0,0,1,Multiple,0,No_EVA,Medium,Russia,0,0,0,0,0,27.0,0.0,1.0,96.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
143,65,27,"Makarov, Oleg",Олег Григорьевич Макаров,male,1933,Russia,civilian,Korolyov-Group / Mishin-Group / TsKBEM-3,1968,3,3,flight engineer,1980,Soyuz T­3,Soyuz T­3,Salyut 6,Soyuz T­3,307.0,497.33,0,0.0,0.0,"Makarov, Oleg",92,1930,1960,35,1,0,0,1,Multiple,0,No_EVA,Medium,Russia,0,0,0,0,0,27.0,0.0,1.0,97.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
144,66,39,"Carr, Gerald P.","Carr, Gerald P.",male,1932,USA,military,NASA- 5,1966,1,1,commander,1974,Skylab 4,Skylab 4,Skylab 4,Skylab 4,2017.0,2017.0,3,15.85,15.85,"Carr, Gerald P.",93,1930,1960,34,1,0,1,0,Single,1,Medium,Very_Long,USA,0,0,0,0,0,38.0,1.0,0.0,142.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
145,67,40,"Pogue, William R.","Pogue, William R.",male,1930,USA,military,NASA-5,1966,1,1,pilot,1973,Skylab 4,Skylab 4,Skylab 4,Skylab 4,2017.0,2017.0,2,13.62,13.62,"Pogue, William R.",95,1930,1960,36,1,0,1,0,Single,1,Medium,Very_Long,USA,0,0,0,0,0,38.0,1.0,5.0,157.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
146,68,41,"Gibson, Edward G.","Gibson, Edward G.",male,1936,USA,civilian,NASA Astronaut Group 4,1965,1,1,msp,1973,Skylab 4,Skylab 4,Skylab 4,Skylab 4,2017.0,2017.0,3,15.35,15.35,"Gibson, Edward G.",89,1930,1960,29,1,0,0,0,Single,1,Medium,Very_Long,USA,0,0,0,0,0,38.0,0.0,2.0,122.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
147,69,28,"Klimuk, Pyotr",Петр Ильич Климук,male,1942,Russia,military,TsPK-3,1965,1,3,commander,1973,Soyuz 13,Soyuz 13,Soyuz 13,Soyuz 13,188.0,1890.28,0,0.0,0.0,"Klimuk, Pyotr",83,1940,1960,23,1,0,1,1,Multiple,0,No_EVA,Very_Long,Russia,0,0,0,0,0,27.0,1.0,0.0,213.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
148,69,28,"Klimuk, Pyotr",Петр Ильич Климук,male,1942,Russia,military,TsPK-4,1965,2,3,commander,1975,Saluyt 4,Soyuz 18,Saluyt 4,Soyuz 18,1511.0,1890.28,0,0.0,0.0,"Klimuk, Pyotr",83,1940,1960,23,1,0,1,1,Multiple,0,No_EVA,Very_Long,Russia,0,0,0,0,0,27.0,1.0,0.0,214.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
149,69,28,"Klimuk, Pyotr",Петр Ильич Климук,male,1942,Russia,military,TsPK-5,1965,3,3,commander,1978,Saluyt 6,Soyuz 30,Saluyt 6,Soyuz 30,190.0,1890.28,0,0.0,0.0,"Klimuk, Pyotr",83,1940,1960,23,1,0,1,1,Multiple,0,No_EVA,Very_Long,Russia,0,0,0,0,0,27.0,1.0,0.0,215.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
150,70,29,"Lebedev, Valentin",Валентин Витальевич Лебедев,male,1942,Russia,civilian,TsKBEM-2 / AN-4,1972,1,2,flight engineer,1973,Soyuz 13,Soyuz 13,Soyuz 13,Soyuz 13,188.0,5261.98,0,0.0,2.55,"Lebedev, Valentin",83,1940,1970,30,1,0,0,1,Couple,1,Short,Very_Long,Russia,0,0,0,0,0,27.0,0.0,1.0,201.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
151,70,29,"Lebedev, Valentin",Валентин Витальевич Лебедев,male,1942,Russia,civilian,TsKBEM-2 / AN-5,1972,2,2,flight engineer,1982,Salyut 7,Soyuz T­5,Salyut 7,Soyuz T­7,5313.0,5261.98,1,2.55,2.55,"Lebedev, Valentin",83,1940,1970,30,1,0,0,1,Couple,1,Short,Very_Long,Russia,0,0,0,0,0,27.0,0.0,1.0,202.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
152,71,30,"Artyukhin, Yuri",Юрий Петрович Артюхин,male,1930,Russia,military,TsPK-2,1963,1,1,flight engineer,1974,Soyuz 14,Soyuz 14,Salyut 3,Soyuz 14,377.0,377.5,0,0.0,0.0,"Artyukhin, Yuri",95,1930,1960,33,1,0,1,0,Single,0,No_EVA,Medium,Russia,0,0,0,0,0,27.0,1.0,1.0,212.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
153,72,31,"Sarafanov, Gennadi",Геннадий Васильевич Сарафанов,male,1942,Russia,military,TsPK-3,1965,1,1,commander,1974,Soyuz 15,Soyuz 15,Soyuz 15,Soyuz 15,48.0,48.2,0,0.0,0.0,"Sarafanov, Gennadi",83,1940,1960,23,1,0,1,0,Single,0,No_EVA,Short,Russia,0,0,0,0,0,27.0,1.0,0.0,213.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
154,73,32,"Dyomin, Lev",Лев Степанович Дёмин,male,1926,Russia,military,TsPK-2,1963,1,1,flight engineer,1974,Soyuz 15,Soyuz 15,Soyuz 15,Soyuz 15,48.0,48.2,0,0.0,0.0,"Dyomin, Lev",99,1920,1960,37,1,0,1,0,Single,0,No_EVA,Short,Russia,0,0,0,0,0,27.0,1.0,1.0,212.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
155,74,33,"Gubarev, Aleksei",Алексей Александрович Губарев,male,1931,Russia,military,TsPK-2,1963,1,2,commander,1975,Salyut 4,Soyuz 17,Salyut 4,Soyuz 17,709.0,899.6,0,0.0,0.0,"Gubarev, Aleksei",94,1930,1960,32,1,0,1,1,Couple,0,No_EVA,Long,Russia,0,0,0,0,0,27.0,1.0,0.0,212.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
156,74,33,"Gubarev, Aleksei",Алексей Александрович Губарев,male,1931,Russia,military,TsPK-3,1963,2,2,commander,1978,Salyut 6,Soyuz 28,Salyut 6,Soyuz 28,190.0,899.6,0,0.0,0.0,"Gubarev, Aleksei",94,1930,1960,32,1,0,1,1,Couple,0,No_EVA,Long,Russia,0,0,0,0,0,27.0,1.0,0.0,213.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
157,75,34,"Grechko, Georgi",Георгий Михайлович Гречко,male,1931,Russia,civilian,Korolyov-Group / Mishin-Group / TsKBEM-1 / AN-3,1968,1,3,flight engineer,1975,Salyut 4,Soyuz 17,Salyut 4,Soyuz 17,709.0,3236.53,0,0.0,1.01,"Grechko, Georgi",94,1930,1960,37,1,0,0,1,Multiple,1,Short,Very_Long,Russia,0,0,0,0,0,27.0,0.0,1.0,93.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
158,75,34,"Grechko, Georgi",Георгий Михайлович Гречко,male,1931,Russia,civilian,Korolyov-Group / Mishin-Group / TsKBEM-1 / AN-4,1968,2,3,flight engineer,1977,Salyut 6,Soyuz 26,Salyut 6,Soyuz 27,2314.0,3236.53,1,1.01,1.01,"Grechko, Georgi",94,1930,1960,37,1,0,0,1,Multiple,1,Short,Very_Long,Russia,0,0,0,0,0,27.0,0.0,1.0,94.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
159,75,34,"Grechko, Georgi",Георгий Михайлович Гречко,male,1931,Russia,civilian,Korolyov-Group / Mishin-Group / TsKBEM-1 / AN-5,1968,3,3,flight engineer,1985,Soyuz 7,Soyuz T­14,Soyuz 7,Soyuz T­13,213.0,3236.53,0,0.0,1.01,"Grechko, Georgi",94,1930,1960,37,1,0,0,1,Multiple,1,Short,Very_Long,Russia,0,0,0,0,0,27.0,0.0,1.0,95.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
160,76,42,"Brand, Vance D.","Brand, Vance D.",male,1931,USA,civilian,NASA- 5,1966,1,4,pilot,1975,ASTP,ASTP,ASTP,ASTP,217.5,746.0,0,0.0,0.0,"Brand, Vance D.",94,1930,1960,35,1,0,0,1,Multiple,0,No_EVA,Long,USA,0,0,0,0,0,38.0,0.0,5.0,142.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
161,76,42,"Brand, Vance D.","Brand, Vance D.",male,1931,USA,civilian,NASA- 5,1966,2,4,commander,1982,STS-5,STS-5,STS-5,STS-5,122.25,746.0,0,0.0,0.0,"Brand, Vance D.",94,1930,1960,35,1,0,0,1,Multiple,0,No_EVA,Long,USA,0,0,0,0,0,38.0,0.0,0.0,142.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
162,76,42,"Brand, Vance D.","Brand, Vance D.",male,1931,USA,civilian,NASA- 5,1966,3,4,commander,1984,STS-41-B,STS-41-B,STS-41-B,STS-41-B,191.25,746.0,0,0.0,0.0,"Brand, Vance D.",94,1930,1960,35,1,0,0,1,Multiple,0,No_EVA,Long,USA,0,0,0,0,0,38.0,0.0,0.0,142.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
163,76,42,"Brand, Vance D.","Brand, Vance D.",male,1931,USA,civilian,NASA- 5,1966,4,4,commander,1990,STS-35,STS-35,STS-35,STS-35,215.0,746.0,0,0.0,0.0,"Brand, Vance D.",94,1930,1960,35,1,0,0,1,Multiple,0,No_EVA,Long,USA,0,0,0,0,0,38.0,0.0,0.0,142.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
164,77,43,"Slayton, Donald K.","Slayton, Donald K.",male,1924,USA,civilian,1959 NASA group 1,1959,1,1,pilot,1975,ASTP,ASTP,ASTP,ASTP,217.47,217.47,0,0.0,0.0,"Slayton, Donald K.",101,1920,1950,35,1,0,0,0,Single,0,No_EVA,Medium,USA,0,0,0,0,0,38.0,0.0,5.0,1.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False
165,78,35,"Zholobov, Vitali",Виталий Михайлович Жолобов,male,1937,Russia,military,TsPK-2,1963,1,1,flight engineer,1976,Soyuz 21,Soyuz 21,Salyut 5,Soyuz 21,1182.0,1182.38,0,0.0,0.0,"Zholobov, Vitali",88,1930,1960,26,1,0,1,0,Single,0,No_EVA,Very_Long,Russia,0,0,0,0,0,27.0,1.0,1.0,212.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
166,79,36,"Aksyonov, Vladimir",Владимир Викторович Аксёнов,male,1935,Russia,military,TsKBEM-3,1973,1,2,flight engineer,1976,Soyuz 22,Soyuz 22,Soyuz 22,Soyuz 22,189.0,284.18,0,0.0,0.0,"Aksyonov, Vladimir",90,1930,1970,38,1,0,1,1,Couple,0,No_EVA,Medium,Russia,0,0,0,0,0,27.0,1.0,1.0,203.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
167,79,36,"Aksyonov, Vladimir",Владимир Викторович Аксёнов,male,1935,Russia,military,TsKBEM-4,1973,2,2,flight engineer,1980,Soyuz T­2,Soyuz T­2,Salyut 6,Soyuz T­2,94.0,284.18,0,0.0,0.0,"Aksyonov, Vladimir",90,1930,1970,38,1,0,1,1,Couple,0,No_EVA,Medium,Russia,0,0,0,0,0,27.0,1.0,1.0,204.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
168,80,37,"Zudov, Vyacheslav",Вячеслав Дмитриевич Зудов,male,1942,Russia,military,TsPK-3,1965,1,1,commander,1976,Soyuz 23,Soyuz 23,Soyuz 23,Soyuz 23,48.0,48.1,0,0.0,0.0,"Zudov, Vyacheslav",83,1940,1960,23,1,0,1,0,Single,0,No_EVA,Short,Russia,0,0,0,0,0,27.0,1.0,0.0,213.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
169,81,38,"Rozhdestvensky, Valery",Валерий Ильич Рождественский,male,1939,Russia,military,TsPK-3,1965,1,1,flight engineer,1976,Soyuz 23,Soyuz 23,Soyuz 23,Soyuz 23,48.0,48.1,0,0.0,0.0,"Rozhdestvensky, Valery",86,1930,1960,26,1,0,1,0,Single,0,No_EVA,Short,Russia,0,0,0,0,0,27.0,1.0,1.0,213.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
170,82,39,"Glazkov, Yuri",Юрий Николаевич Глазков,male,1939,Russia,military,TsPK-3,1965,1,1,flight engineer,1977,Soyuz 24,Soyuz 24,Salyut 5,Soyuz 24,425.0,425.42,0,0.0,0.0,"Glazkov, Yuri",86,1930,1960,26,1,0,1,0,Single,0,No_EVA,Medium,Russia,0,0,0,0,0,27.0,1.0,1.0,213.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
171,83,40,"Kovalyonok, Vladimir",Владимир Васильевич Ковалёнок,male,1942,Russia,military,TsPK-4,1967,1,3,commander,1977,Soyuz 25,Soyuz 25,Soyuz 25,Soyuz 25,48.0,5193.13,0,0.0,2.33,"Kovalyonok, Vladimir",83,1940,1960,25,1,0,1,1,Multiple,1,Short,Very_Long,Russia,0,0,0,0,0,27.0,1.0,0.0,214.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
172,83,40,"Kovalyonok, Vladimir",Владимир Васильевич Ковалёнок,male,1942,Russia,military,TsPK-5,1967,2,3,commander,1978,Salyut 6,Soyuz 29,Salyut 6,Soyuz 31,3350.0,5193.13,1,2.33,2.33,"Kovalyonok, Vladimir",83,1940,1960,25,1,0,1,1,Multiple,1,Short,Very_Long,Russia,0,0,0,0,0,27.0,1.0,0.0,215.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
173,83,40,"Kovalyonok, Vladimir",Владимир Васильевич Ковалёнок,male,1942,Russia,military,TsPK-6,1967,3,3,commander,1981,Salyut 6,Soyuz T­4,Salyut 6,Soyuz T­4,1793.0,5193.13,0,0.0,2.33,"Kovalyonok, Vladimir",83,1940,1960,25,1,0,1,1,Multiple,1,Short,Very_Long,Russia,0,0,0,0,0,27.0,1.0,0.0,216.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
174,84,41,"Ryumin, Valery",Валерий Викторович Рюмин,male,1939,Russia,civilian,TsKBEM-3,1973,1,4,flight engineer,1977,Soyuz 25,Soyuz 25,Soyuz 25,Soyuz 25,48.0,8921.4,0,0.0,1.38,"Ryumin, Valery",86,1930,1970,34,1,0,0,1,Multiple,1,Short,Very_Long,Russia,0,0,0,0,0,27.0,0.0,1.0,203.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
175,84,41,"Ryumin, Valery",Валерий Викторович Рюмин,male,1939,Russia,civilian,TsKBEM-3,1973,2,4,flight engineer,1979,Salyut 6,Soyuz 32,Salyut 6,Soyuz 34,4200.0,8921.4,1,1.38,1.38,"Ryumin, Valery",86,1930,1970,34,1,0,0,1,Multiple,1,Short,Very_Long,Russia,0,0,0,0,0,27.0,0.0,1.0,203.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
176,84,41,"Ryumin, Valery",Валерий Викторович Рюмин,male,1939,Russia,civilian,TsKBEM-3,1973,3,4,flight engineer,1980,Salyut 6,Soyuz 35,Salyut 6,Soyuz 37,4436.0,8921.4,0,0.0,1.38,"Ryumin, Valery",86,1930,1970,34,1,0,0,1,Multiple,1,Short,Very_Long,Russia,0,0,0,0,0,27.0,0.0,1.0,203.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
177,84,41,"Ryumin, Valery",Валерий Викторович Рюмин,male,1939,Russia,civilian,TsKBEM-3,1973,4,4,msp,1998,STS­ 91,STS­ 91,STS­ 91,STS­ 91,235.0,8921.4,0,0.0,1.38,"Ryumin, Valery",86,1930,1970,34,1,0,0,1,Multiple,1,Short,Very_Long,Russia,0,0,0,0,0,27.0,0.0,2.0,203.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
178,85,42,"Romanenko, Yuri",Юрий Викторович Романенко,male,1944,Russia,military,TsPK-5,1970,1,3,commander,1977,Soyuz 26/27,Soyuz 26,Salyut 6,Soyuz 27,2314.0,10338.35,1,1.47,10.27,"Romanenko, Yuri",81,1940,1970,26,1,0,1,1,Multiple,1,Medium,Very_Long,Russia,0,0,0,1,0,27.0,1.0,0.0,215.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
179,85,42,"Romanenko, Yuri",Юрий Викторович Романенко,male,1944,Russia,military,TsPK-5,1970,2,3,commander,1980,Soyuz 38,Soyuz 38,Salyut 6,Soyuz 38,188.0,10338.35,0,0.0,10.27,"Romanenko, Yuri",81,1940,1970,26,1,0,1,1,Multiple,1,Medium,Very_Long,Russia,0,0,0,1,0,27.0,1.0,0.0,215.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
180,85,42,"Romanenko, Yuri",Юрий Викторович Романенко,male,1944,Russia,military,TsPK-5,1970,3,3,commander,1987,2,Soyuz TM­2/3,Mir,Soyuz TM­2/3,7835.0,10338.35,3,8.8,10.27,"Romanenko, Yuri",81,1940,1970,26,1,0,1,1,Multiple,1,Medium,Very_Long,Russia,0,0,0,1,0,27.0,1.0,0.0,215.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
181,86,43,"Dzhanibekov, Vladimir",Владимир Александрович Джанибеков,male,1942,Russia,military,TsPK-5,1970,1,5,commander,1978,Soyuz 27/26,Soyuz 27,Salyut 6,Soyuz 26,142.0,3495.93,0,0.0,8.57,"Dzhanibekov, Vladimir",83,1940,1970,28,1,0,1,1,Multiple,1,Short,Very_Long,Russia,0,0,0,0,0,27.0,1.0,0.0,215.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
182,86,43,"Dzhanibekov, Vladimir",Владимир Александрович Джанибеков,male,1942,Russia,military,TsPK-5,1970,2,5,commander,1981,Soyuz 39,Soyuz 39,Salyut 6,Soyuz 39,188.0,3495.93,0,0.0,8.57,"Dzhanibekov, Vladimir",83,1940,1970,28,1,0,1,1,Multiple,1,Short,Very_Long,Russia,0,0,0,0,0,27.0,1.0,0.0,215.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
183,86,43,"Dzhanibekov, Vladimir",Владимир Александрович Джанибеков,male,1942,Russia,military,TsPK-5,1970,3,5,commander,1982,Salyut 7,Soyuz T­6,Salyut 7,Soyuz T­6,189.0,3495.93,0,0.0,8.57,"Dzhanibekov, Vladimir",83,1940,1970,28,1,0,1,1,Multiple,1,Short,Very_Long,Russia,0,0,0,0,0,27.0,1.0,0.0,215.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
184,86,43,"Dzhanibekov, Vladimir",Владимир Александрович Джанибеков,male,1942,Russia,military,TsPK-5,1970,4,5,commander,1984,Salyut 7,Soyuz T­12,Salyut 7,Soyuz T­12,283.0,3495.93,1,3.57,8.57,"Dzhanibekov, Vladimir",83,1940,1970,28,1,0,1,1,Multiple,1,Short,Very_Long,Russia,0,0,0,0,0,27.0,1.0,0.0,215.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
185,86,43,"Dzhanibekov, Vladimir",Владимир Александрович Джанибеков,male,1942,Russia,military,TsPK-5,1970,5,5,commander,1985,Salyut 7,Soyuz T­13,Salyut 7,Soyuz T­13,2691.0,3495.93,1,5.0,8.57,"Dzhanibekov, Vladimir",83,1940,1970,28,1,0,1,1,Multiple,1,Short,Very_Long,Russia,0,0,0,0,0,27.0,1.0,0.0,215.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
186,87,1,Vladimir Remek,,male,1948,Czechoslovakia,military,Air Gorce Group 6 - USSR,1976,1,1,pilot,1978,Soyuz 28,Soyuz 28,Soyuz 28,Soyuz 28,190.28,190.28,0,0.0,0.0,Vladimir Remek,77,1940,1970,28,1,0,1,0,Single,0,No_EVA,Medium,Other,0,0,0,0,0,9.0,1.0,5.0,64.0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
